epoch     train_loss  valid_loss  time    
0         0.694810    0.552290    04:18                                                                                                                 
1         0.528988    0.432296    04:20                                                                                                                 
2         0.419409    0.368680    04:32                                                                                                                 
3         0.365486    0.348531    04:28                                                                                                                 
4         0.348355    0.381412    04:25                                                                                                                 
5         0.334810    0.351610    04:30                                                                                                                 
6         0.333122    0.396816    04:29                                                                                                                 
7         0.324894    0.316703    04:24                                                                                                                 
8         0.308747    0.316674    04:26                                                                                                                 
9         0.300578    0.328570    04:26                                                                                                                  
10        0.296349    0.308771    04:28                                                                                                                  
11        0.291813    0.329462    04:27                                                                                                                  
12        0.285294    0.303802    04:27                                                                                                                  
13        0.278709    0.289660    04:28                                                                                                                  
14        0.276544    0.289960    04:27                                                                                                                  
15        0.269279    0.298299    04:28                                                                                                                  
16        0.267724    0.292647    04:27                                                                                                                  
17        0.265145    0.304520    04:28                                                                                                                  
18        0.261628    0.281247    04:28                                                                                                                  
19        0.261277    0.278640    04:28                                                                                                                  
20        0.259125    0.294081    04:27                                                                                                                  
21        0.251256    0.282597    04:27                                                                                                                  
22        0.251904    0.296503    04:27                                                                                                                  
23        0.249378    0.283866    04:27                                                                                                                  
24        0.244968    0.284448    04:26                                                                                                                  
25        0.242365    0.279141    04:26                                                                                                                  
26        0.241825    0.291265    04:27                                                                                                                  
27        0.236175    0.286479    04:27                                                                                                                  
28        0.235002    0.268043    04:26                                                                                                                  
29        0.233285    0.269764    04:27                                                                                                                  
30        0.235051    0.270812    04:26                                                                                                                  
31        0.231416    0.268018    04:26                                                                                                                  
32        0.225589    0.275727    04:26                                                                                                                  
33        0.226272    0.275397    04:27                                                                                                                  
34        0.219894    0.277337    04:27                                                                                                                  
35        0.213706    0.275950    04:28                                                                                                                  
36        0.212941    0.282486    04:28                                                                                                                  
37        0.208156    0.284363    04:29                                                                                                                  
38        0.205039    0.286994    04:28                                                                                                                  
39        0.201707    0.275010    04:29                                                                                                                  
40        0.200300    0.276472    04:28                                                                                                                  
41        0.199558    0.285360    04:30                                                                                                                  
42        0.194653    0.282283    04:29                                                                                                                  
43        0.192138    0.284292    04:29                                                                                                                  
44        0.189128    0.286221    04:30                                                                                                                  
45        0.188283    0.287792    04:29                                                                                                                  
46        0.185577    0.289427    04:29                                                                                                                  
47        0.184785    0.287062    04:29                                                                                                                  
48        0.180416    0.288177    04:29                                                                                                                  
49        0.184652    0.288719    04:29  
