epoch     train_loss  valid_loss  time    
0         0.728770    0.554619    04:41                                                                                                              
1         0.575705    0.468881    04:27                                                                                                              
2         0.481385    0.423645    04:33                                                                                                              
3         0.449919    0.429043    04:34                                                                                                              
4         0.444890    0.439323    04:26                                                                                                                 
5         0.442218    0.570948    04:25                                                                                                                 
6         0.425750    0.566957    04:37                                                                                                                 
7         0.420771    5.592772    04:34                                                                                                                 
8         0.411343    0.420241    04:32                                                                                                                 
9         0.409609    0.399662    04:34                                                                                                                  
10        0.408180    0.421733    04:32                                                                                                                  
11        0.405384    0.418638    04:34                                                                                                                  
12        0.405312    0.465060    04:33                                                                                                                  
13        0.404749    0.468461    04:36                                                                                                                  
14        0.403774    0.427407    04:39                                                                                                                  
15        0.397546    0.406422    04:40                                                                                                                  
16        0.397449    0.398534    04:34                                                                                                                  
17        0.395505    0.396931    04:25                                                                                                                  
18        0.390742    0.393848    04:34                                                                                                                  
19        0.392956    0.418342    05:02                                                                                                                  
20        0.388913    0.390218    04:54                                                                                                                  
21        0.389105    0.410813    04:53                                                                                                                  
22        0.385824    0.399032    04:31                                                                                                                  
23        0.387870    0.395118    04:24                                                                                                                  
24        0.382595    0.397101    04:26                                                                                                                  
25        0.382567    0.388592    04:34                                                                                                                  
26        0.380079    0.400184    04:24                                                                                                                  
27        0.385006    0.389028    04:22                                                                                                                  
28        0.380211    0.384998    04:23                                                                                                                  
29        0.378381    0.386495    04:30                                                                                                                  
30        0.380198    0.393129    04:56                                                                                                                  
31        0.376170    0.387642    05:14                                                                                                                  
32        0.369997    0.385575    04:59                                                                                                                  
33        0.374585    0.385996    05:02                                                                                                                  
34        0.372995    0.384869    05:07                                                                                                                  
35        0.372835    0.386009    05:04                                                                                                                  
36        0.367393    0.392411    05:11                                                                                                                  
37        0.362336    0.384218    05:02                                                                                                                  
38        0.364718    0.383660    04:33                                                                                                                  
39        0.365753    0.387027    04:36                                                                                                                  
40        0.363084    0.383370    04:58                                                                                                                  
41        0.361794    0.389006    04:41                                                                                                                  
42        0.359586    0.382936    04:34                                                                                                                  
43        0.361327    0.382902    04:32                                                                                                                  
44        0.356295    0.385319    04:31                                                                                                                  
45        0.360968    0.383960    04:31                                                                                                                  
46        0.358226    0.385356    04:36                                                                                                                  
47        0.357866    0.384689    04:35                                                                                                                  
48        0.356883    0.383623    04:38                                                                                                                  
49        0.358296    0.383733    04:34            
