epoch     train_loss  valid_loss  time    
0         0.746150    0.545152    04:25                                                                                                                 
1         0.569556    0.452632    04:30                                                                                                                 
2         0.470937    0.408896    04:27                                                                                                                 
3         0.428058    0.391871    04:26                                                                                                                 
4         0.439271    0.896772    04:31                                                                                                                 
5         0.419471    0.439103    04:31                                                                                                                 
6         0.396217    0.388688    04:38                                                                                                                 
7         0.387269    0.380692    04:33                                                                                                                 
8         0.385354    0.378412    04:31                                                                                                                 
9         0.380976    0.402739    04:35                                                                                                                  
10        0.379683    0.450908    04:29                                                                                                                  
11        0.374301    0.397691    04:27                                                                                                                  
12        0.379217    0.374798    04:30                                                                                                                  
13        0.371471    0.384922    04:28                                                                                                                  
14        0.370495    0.377403    04:32                                                                                                                  
15        0.367676    0.373170    04:28                                                                                                                  
16        0.362702    0.381931    04:28                                                                                                                  
17        0.362318    0.371064    04:26                                                                                                                  
18        0.361296    0.374533    04:28                                                                                                                  
19        0.361921    0.364675    04:31                                                                                                                  
20        0.357307    0.364673    04:32                                                                                                                  
21        0.356831    0.370484    04:33                                                                                                                  
22        0.354187    0.379400    04:33                                                                                                                  
23        0.355237    0.356904    04:33                                                                                                                  
24        0.354774    0.361946    04:35                                                                                                                  
25        0.348288    0.360426    04:33                                                                                                                  
26        0.349220    0.365527    04:35                                                                                                                  
27        0.348010    0.370515    04:50                                                                                                                  
28        0.349121    0.354418    04:34                                                                                                                  
29        0.341770    0.358088    04:36                                                                                                                  
30        0.342889    0.356902    04:55                                                                                                                  
31        0.338257    0.361555    04:56                                                                                                                  
32        0.336601    0.355143    04:54                                                                                                                  
33        0.332471    0.354179    04:45                                                                                                                  
34        0.334488    0.353485    04:46                                                                                                                  
35        0.333226    0.354995    04:41                                                                                                                  
36        0.331680    0.355023    04:38                                                                                                                  
37        0.333361    0.354588    04:38                                                                                                                  
38        0.328588    0.359579    04:38                                                                                                                  
39        0.327403    0.355199    04:39                                                                                                                  
40        0.325170    0.353998    04:39                                                                                                                  
41        0.322461    0.355885    04:38                                                                                                                  
42        0.323731    0.354257    04:39                                                                                                                  
43        0.319784    0.355632    04:38                                                                                                                  
44        0.317060    0.355506    04:38                                                                                                                  
45        0.318650    0.355525    04:38                                                                                                                  
46        0.316093    0.356453    04:40                                                                                                                  
47        0.316670    0.356402    04:41                                                                                                                  
48        0.314610    0.356384    04:40                                                                                                                  
49        0.321030    0.355598    04:40 
