epoch     train_loss  valid_loss  time    
0         0.743747    0.583479    04:33                                                                                                                 
1         0.608993    0.504501    04:33                                                                                                                 
2         0.525536    0.490419    04:34                                                                                                                 
3         0.500567    0.482161    04:33                                                                                                                 
4         0.483428    0.470936    04:31                                                                                                                 
5         0.494524    1.014140    04:32                                                                                                                 
6         0.462516    0.477347    04:33                                                                                                                 
7         0.465119    0.475940    04:32                                                                                                                 
8         0.454437    0.516426    04:32                                                                                                                 
9         0.448671    0.458284    04:32                                                                                                                  
10        0.445617    0.454304    04:32                                                                                                                  
11        0.443502    0.450235    04:32                                                                                                                  
12        0.433277    0.446621    04:32                                                                                                                  
13        0.435893    0.437987    04:34                                                                                                                  
14        0.429816    0.457232    04:33                                                                                                                  
15        0.428190    0.438767    04:33                                                                                                                  
16        0.423609    0.434956    04:33                                                                                                                  
17        0.419685    0.431649    04:33                                                                                                                  
18        0.421012    0.433627    04:34                                                                                                                  
19        0.413379    0.447962    04:34                                                                                                                  
20        0.411890    0.442117    04:33                                                                                                                  
21        0.414989    0.424741    04:34                                                                                                                  
22        0.413926    0.428072    04:34                                                                                                                  
23        0.409991    0.425491    04:33                                                                                                                  
24        0.407415    0.416838    04:33                                                                                                                  
25        0.406450    0.424859    04:32                                                                                                                  
26        0.405617    0.419787    04:32                                                                                                                  
27        0.401570    0.419444    04:32                                                                                                                  
28        0.402416    0.419526    04:33                                                                                                                  
29        0.402656    0.424601    04:33                                                                                                                  
30        0.398486    0.423032    04:32                                                                                                                  
31        0.398977    0.430995    04:32                                                                                                                  
32        0.395245    0.421927    04:33                                                                                                                  
33        0.392692    0.420884    04:32                                                                                                                  
34        0.393020    0.414459    04:31                                                                                                                  
35        0.386272    0.419764    04:22                                                                                                                  
36        0.382032    0.416310    04:33                                                                                                                  
37        0.385770    0.419183    04:33                                                                                                                  
38        0.382666    0.417719    04:32                                                                                                                  
39        0.381115    0.419269    04:33                                                                                                                  
40        0.376295    0.415036    04:33                                                                                                                  
41        0.376003    0.419761    04:33                                                                                                                  
42        0.373233    0.419665    04:33                                                                                                                  
43        0.372182    0.422918    04:33                                                                                                                  
44        0.370467    0.419904    04:34                                                                                                                  
45        0.367782    0.421059    04:33                                                                                                                  
46        0.370038    0.419350    04:33                                                                                                                  
47        0.369179    0.418514    04:33                                                                                                                  
48        0.363818    0.418630    04:34                                                                                                                  
49        0.369982    0.420748    04:33                                                                                                                  
     
