epoch     train_loss  valid_loss  time    
0         0.706142    0.544629    04:30                                                                                                                 
1         0.546159    0.425433    04:30                                                                                                                 
2         0.437556    0.380634    04:30                                                                                                                 
3         0.387574    0.506878    04:29                                                                                                                 
4         0.375451    0.381923    04:30                                                                                                                 
5         0.380695    0.398914    04:27                                                                                                                 
6         0.373279    0.481356    04:16                                                                                                                 
7         0.364297    0.384476    04:21                                                                                                                 
8         0.345961    0.376792    04:19                                                                                                                 
9         0.338137    0.387286    04:23                                                                                                                  
10        0.338940    0.375418    04:21                                                                                                                  
11        0.334235    0.368548    04:23                                                                                                                  
12        0.330348    0.344169    04:27                                                                                                                  
13        0.329133    0.362727    04:22                                                                                                                  
14        0.325929    0.329899    04:25                                                                                                                  
15        0.320483    0.349692    04:23                                                                                                                  
16        0.319187    0.490045    04:23                                                                                                                  
17        0.315593    0.336752    04:23                                                                                                                  
18        0.310844    0.334922    04:20                                                                                                                  
19        0.308648    0.338648    04:19                                                                                                                  
20        0.310025    0.326831    04:17                                                                                                                  
21        0.307039    0.318715    04:16                                                                                                                  
22        0.304312    0.317947    04:17                                                                                                                  
23        0.305192    0.315033    04:22                                                                                                                  
24        0.301479    0.326949    04:18                                                                                                                  
25        0.298061    0.318810    04:20                                                                                                                  
26        0.296041    0.391280    04:17                                                                                                                  
27        0.293696    0.321646    04:23                                                                                                                  
28        0.292656    0.314689    04:21                                                                                                                  
29        0.289355    0.330399    04:22                                                                                                                  
30        0.293168    0.311822    04:24                                                                                                                  
31        0.285889    0.309158    04:22                                                                                                                  
32        0.284163    0.318070    27:03                                                                                                                  
33        0.280508    0.321001    04:23                                                                                                                  
34        0.277936    0.314106    08:25                                                                                                                  
35        0.281590    0.318956    04:20                                                                                                                  
36        0.274885    0.311506    04:21                                                                                                                  
37        0.275183    0.308784    04:23                                                                                                                  
38        0.270804    0.314528    13:01                                                                                                                  
39        0.266855    0.314670    04:23                                                                                                                  
40        0.267937    0.316269    04:23                                                                                                                  
41        0.263478    0.316725    04:24                                                                                                                  
42        0.259879    0.318734    04:23                                                                                                                  
43        0.258908    0.318408    04:22                                                                                                                  
44        0.256560    0.317506    04:21                                                                                                                  
45        0.256454    0.318943    04:24                                                                                                                  
46        0.254170    0.317991    04:24                                                                                                                  
47        0.253874    0.319168    04:40                                                                                                                  
48        0.250907    0.319008    07:39                                                                                                                  
49        0.252583    0.319207    08:26        
