epoch     train_loss  valid_loss  time    
0         0.708229    0.558492    09:36                                                                                                                 
1         0.540965    0.432058    06:51                                                                                                                 
2         0.446294    0.389025    05:27                                                                                                                 
3         0.415103    0.389786    06:42                                                                                                                 
4         0.398629    0.377375    07:00                                                                                                                 
5         0.396937    0.597403    43:53                                                                                                                 
6         0.356868    0.352455    24:28                                                                                                                 
7         0.349236    0.361974    33:06                                                                                                                 
8         0.346376    0.396392    06:26                                                                                                                 
9         0.342674    0.380583    08:34                                                                                                                  
10        0.337297    0.355542    35:21                                                                                                                  
11        0.335387    0.368987    45:31                                                                                                                  
12        0.328996    0.433823    04:22                                                                                                                  
13        0.327512    0.417031    04:29                                                                                                                  
14        0.323850    0.366591    04:32                                                                                                                  
15        0.321558    0.328280    04:29                                                                                                                  
16        0.322024    0.341719    04:27                                                                                                                  
17        0.316803    0.327801    04:26                                                                                                                  
18        0.310123    0.323024    04:28                                                                                                                  
19        0.310599    0.328151    04:29                                                                                                                  
20        0.310224    0.318399    04:30                                                                                                                  
21        0.305358    0.322352    04:36                                                                                                                  
22        0.304419    0.322893    04:30                                                                                                                  
23        0.301517    0.318855    04:32                                                                                                                  
24        0.300888    0.317501    04:35                                                                                                                  
25        0.299718    0.316617    04:43                                                                                                                  
26        0.298028    0.318628    04:42                                                                                                                  
27        0.294723    0.316718    04:43                                                                                                                  
28        0.291914    0.310675    04:44                                                                                                                  
29        0.289940    0.315402    04:43                                                                                                                  
30        0.284852    0.316145    04:44                                                                                                                  
31        0.285976    0.311148    04:34                                                                                                                  
32        0.281823    0.318583    04:32                                                                                                                  
33        0.282257    0.314717    04:31                                                                                                                  
34        0.278615    0.311900    04:32                                                                                                                  
35        0.275569    0.316117    04:33                                                                                                                  
36        0.275557    0.313900    04:33                                                                                                                  
37        0.267282    0.318333    04:30                                                                                                                  
38        0.268510    0.315189    04:34                                                                                                                  
39        0.266400    0.322252    04:39                                                                                                                  
40        0.260564    0.317136    04:36                                                                                                                  
41        0.259535    0.320024    04:40                                                                                                                  
42        0.254964    0.320452    04:32                                                                                                                  
43        0.258600    0.320676    04:35                                                                                                                  
44        0.258884    0.321702    04:35                                                                                                                  
45        0.255227    0.321190    04:33                                                                                                                  
46        0.251402    0.320768    04:36                                                                                                                  
47        0.251272    0.321085    04:42                                                                                                                  
48        0.251591    0.322349    04:42                                                                                                                  
49        0.251370    0.321371    04:42    
